JOBS 100
0 SUM 84
1 DOT 36
2 SUM 132
3 DOT 84
4 SUM 84
5 DOT 36
6 DOT 84
7 SUM 108
8 XPY 60
9 XPY 48
10 SUM 108
11 COPY 84
12 SUM 132
13 DOT 84
14 SUM 84
15 COPY 60
16 COPY 84
17 COPY 60
18 DOT 84
19 DOT 84
20 COPY 84
21 SUM 108
22 COPY 84
23 SUM 132
24 XPY 48
25 DOT 36
26 SUM 132
27 XPY 48
28 XPY 60
29 XPY 48
30 DOT 36
31 SUM 108
32 SUM 84
33 COPY 60
34 XPY 48
35 DOT 84
36 XPY 48
37 SUM 132
38 XPY 48
39 SUM 108
40 DOT 36
41 SUM 108
42 DOT 36
43 SUM 132
44 COPY 60
45 SUM 108
46 SUM 84
47 DOT 84
48 XPY 48
49 SUM 84
50 TGAMMA 60
51 TGAMMA 120
52 TGAMMA 60
53 TGAMMA 120
54 POW 12
55 POW 36
56 POW 36
57 TGAMMA 12
58 POW 12
59 POW 24
60 TGAMMA 12
61 TGAMMA 120
62 TGAMMA 60
63 POW 36
64 POW 24
65 POW 12
66 POW 24
67 POW 12
68 TGAMMA 12
69 POW 36
70 TGAMMA 120
71 POW 12
72 TGAMMA 120
73 TGAMMA 120
74 POW 36
75 POW 36
76 POW 36
77 TGAMMA 120
78 POW 12
79 POW 36
80 POW 36
81 TGAMMA 120
82 TGAMMA 120
83 TGAMMA 120
84 TGAMMA 60
85 TGAMMA 120
86 TGAMMA 60
87 TGAMMA 12
88 POW 12
89 POW 12
90 POW 24
91 TGAMMA 12
92 TGAMMA 60
93 TGAMMA 60
94 TGAMMA 120
95 POW 36
96 POW 24
97 TGAMMA 60
98 POW 36
99 POW 24
DEPS 0
