JOBS 100
0 TGAMMA 12
1 TGAMMA 12
2 TGAMMA 12
3 SQRTX 12
4 TGAMMA 12
5 POW 36
6 SUM 84
7 COPY 60
8 ERF 48
9 COPY 84
10 TGAMMA 120
11 XPY 60
12 XPY 60
13 DOT 36
14 ERF 48
15 SUM 132
16 TGAMMA 12
17 TGAMMA 120
18 POW 36
19 POW 24
20 POW 12
21 POW 12
22 POW 24
23 POW 24
24 TGAMMA 60
25 XPY 48
26 POW 24
27 POW 12
28 COPY 84
29 SUM 132
30 SQRTX 48
31 XPY 48
32 TGAMMA 60
33 POW 12
34 TGAMMA 60
35 ERF 24
36 POW 12
37 POW 12
38 POW 24
39 TGAMMA 120
40 POW 24
41 TGAMMA 120
42 ERF 12
43 POW 24
44 TGAMMA 120
45 POW 24
46 POW 12
47 XPY 60
48 POW 36
49 TGAMMA 120
50 TGAMMA 60
51 SUM 132
52 TGAMMA 120
53 TGAMMA 12
54 TGAMMA 60
55 POW 24
56 TGAMMA 60
57 POW 36
58 TGAMMA 12
59 SUM 108
60 ERF 24
61 POW 24
62 TGAMMA 120
63 POW 24
64 POW 24
65 POW 12
66 SUM 84
67 SUM 108
68 POW 36
69 TGAMMA 120
70 POW 12
71 DOT 84
72 TGAMMA 120
73 POW 12
74 COPY 84
75 POW 12
76 POW 24
77 XPY 60
78 TGAMMA 60
79 COPY 60
80 COPY 84
81 DOT 36
82 POW 12
83 SQRTX 48
84 POW 36
85 SUM 132
86 SUM 132
87 TGAMMA 120
88 XPY 48
89 ERF 48
90 POW 24
91 TGAMMA 12
92 POW 36
93 TGAMMA 120
94 POW 24
95 TGAMMA 120
96 POW 36
97 POW 12
98 SQRTX 48
99 POW 24
DEPS 0
