JOBS 100
0 TGAMMA 60
1 POW 24
2 TGAMMA 120
3 TGAMMA 60
4 POW 12
5 TGAMMA 120
6 TGAMMA 12
7 TGAMMA 12
8 TGAMMA 60
9 POW 24
10 TGAMMA 12
11 POW 36
12 POW 12
13 TGAMMA 120
14 POW 24
15 TGAMMA 120
16 TGAMMA 120
17 POW 24
18 TGAMMA 12
19 TGAMMA 120
20 POW 24
21 TGAMMA 12
22 TGAMMA 12
23 TGAMMA 12
24 POW 36
25 TGAMMA 120
26 TGAMMA 60
27 TGAMMA 12
28 POW 24
29 TGAMMA 12
30 TGAMMA 60
31 TGAMMA 12
32 POW 12
33 TGAMMA 120
34 POW 24
35 POW 12
36 POW 12
37 POW 36
38 POW 36
39 POW 12
40 POW 24
41 TGAMMA 60
42 TGAMMA 60
43 TGAMMA 60
44 TGAMMA 12
45 TGAMMA 12
46 TGAMMA 60
47 TGAMMA 12
48 POW 36
49 POW 12
50 COPY 60
51 COPY 60
52 COPY 60
53 DOT 36
54 COPY 84
55 DOT 36
56 COPY 84
57 COPY 60
58 DOT 36
59 SUM 132
60 DOT 84
61 SUM 132
62 DOT 36
63 SUM 84
64 COPY 84
65 COPY 60
66 XPY 48
67 SUM 132
68 COPY 60
69 XPY 48
70 SUM 132
71 SUM 84
72 COPY 84
73 COPY 60
74 COPY 60
75 DOT 84
76 SUM 84
77 XPY 48
78 XPY 60
79 XPY 60
80 SUM 132
81 XPY 60
82 DOT 36
83 DOT 84
84 DOT 84
85 XPY 60
86 SUM 84
87 SUM 108
88 SUM 84
89 SUM 84
90 COPY 60
91 COPY 60
92 SUM 108
93 XPY 48
94 COPY 60
95 SUM 108
96 COPY 60
97 DOT 36
98 COPY 84
99 SUM 84
DEPS 0
