JOBS 100
0 TGAMMA 60
1 TGAMMA 120
2 TGAMMA 12
3 TGAMMA 12
4 TGAMMA 60
5 POW 36
6 POW 12
7 TGAMMA 120
8 TGAMMA 120
9 TGAMMA 60
10 TGAMMA 120
11 TGAMMA 60
12 POW 12
13 TGAMMA 12
14 TGAMMA 60
15 POW 12
16 TGAMMA 60
17 TGAMMA 12
18 TGAMMA 12
19 TGAMMA 12
20 TGAMMA 60
21 TGAMMA 120
22 TGAMMA 60
23 TGAMMA 12
24 TGAMMA 60
25 POW 36
26 POW 12
27 POW 24
28 POW 36
29 TGAMMA 60
30 DOT 36
31 SUM 108
32 SUM 84
33 COPY 60
34 XPY 48
35 DOT 84
36 XPY 48
37 SUM 132
38 XPY 48
39 SUM 108
40 DOT 36
41 SUM 108
42 DOT 36
43 SUM 132
44 COPY 60
45 SUM 108
46 SUM 84
47 DOT 84
48 XPY 48
49 SUM 84
50 COPY 84
51 XPY 60
52 COPY 84
53 XPY 60
54 SUM 132
55 SUM 108
56 SUM 108
57 SUM 132
58 DOT 84
59 COPY 84
60 COPY 60
61 SUM 108
62 XPY 48
63 SUM 108
64 SUM 84
65 COPY 60
66 XPY 48
67 DOT 84
68 DOT 84
69 SUM 108
70 XPY 60
71 COPY 60
72 XPY 60
73 XPY 60
74 DOT 36
75 SUM 108
76 SUM 108
77 DOT 36
78 COPY 60
79 SUM 108
80 SUM 108
81 XPY 60
82 DOT 36
83 XPY 60
84 SUM 84
85 XPY 60
86 SUM 84
87 DOT 84
88 SUM 132
89 DOT 84
90 SUM 84
91 DOT 84
92 SUM 84
93 SUM 84
94 SUM 108
95 SUM 108
96 XPY 48
97 XPY 48
98 XPY 60
99 COPY 84
DEPS 0
