JOBS 100
0 TGAMMA 60
1 TGAMMA 120
2 SUM 108
3 POW 24
4 DOT 84
5 SUM 132
6 ERF 24
7 COPY 84
8 DOT 84
9 SUM 108
10 POW 36
11 POW 36
12 POW 12
13 DOT 36
14 TGAMMA 60
15 POW 36
16 XPY 60
17 POW 12
18 ERF 12
19 SUM 132
20 SUM 108
21 DOT 84
22 DOT 84
23 TGAMMA 60
24 SUM 132
25 SUM 132
26 COPY 84
27 SUM 108
28 DOT 84
29 POW 12
30 SUM 84
31 ERF 24
32 XPY 48
33 TGAMMA 12
34 SUM 132
35 TGAMMA 12
36 DOT 84
37 COPY 84
38 XPY 48
39 XPY 48
40 XPY 60
41 TGAMMA 120
42 XPY 48
43 SQRTX 48
44 SUM 132
45 DOT 84
46 COPY 84
47 COPY 84
48 DOT 36
49 XPY 60
50 SUM 84
51 ERF 12
52 SUM 108
53 COPY 60
54 SUM 132
55 POW 12
56 POW 36
57 DOT 84
58 XPY 48
59 COPY 84
60 COPY 84
61 SUM 108
62 XPY 48
63 POW 12
64 SUM 132
65 XPY 60
66 COPY 60
67 XPY 60
68 DOT 84
69 SUM 108
70 TGAMMA 60
71 ERF 12
72 DOT 36
73 TGAMMA 12
74 DOT 36
75 SUM 108
76 TGAMMA 60
77 SUM 84
78 ERF 24
79 COPY 60
80 COPY 60
81 COPY 84
82 XPY 60
83 TGAMMA 60
84 SUM 132
85 COPY 60
86 SQRTX 12
87 POW 24
88 TGAMMA 60
89 SQRTX 12
90 XPY 60
91 POW 12
92 XPY 48
93 POW 24
94 XPY 60
95 XPY 48
96 ERF 24
97 SUM 132
98 DOT 36
99 DOT 36
DEPS 0
