JOBS 100
0 SUM 108
1 SUM 132
2 POW 12
3 SUM 132
4 DOT 84
5 ERF 24
6 DOT 84
7 TGAMMA 120
8 SUM 132
9 POW 12
10 ERF 12
11 DOT 36
12 XPY 48
13 SUM 132
14 TGAMMA 120
15 ERF 48
16 ERF 12
17 SUM 108
18 POW 36
19 ERF 48
20 POW 12
21 TGAMMA 12
22 SQRTX 12
23 SUM 84
24 SUM 84
25 POW 24
26 TGAMMA 60
27 TGAMMA 12
28 SUM 84
29 ERF 12
30 ERF 24
31 POW 12
32 POW 24
33 ERF 24
34 POW 36
35 SUM 132
36 TGAMMA 120
37 SUM 84
38 SQRTX 12
39 TGAMMA 120
40 SUM 132
41 POW 12
42 DOT 84
43 ERF 48
44 ERF 48
45 ERF 48
46 POW 12
47 SUM 108
48 TGAMMA 60
49 COPY 60
50 COPY 84
51 POW 36
52 COPY 60
53 POW 36
54 TGAMMA 12
55 TGAMMA 60
56 SUM 108
57 TGAMMA 120
58 COPY 84
59 POW 12
60 SQRTX 48
61 TGAMMA 12
62 SUM 84
63 ERF 48
64 SQRTX 12
65 POW 24
66 XPY 48
67 TGAMMA 12
68 ERF 24
69 ERF 24
70 COPY 60
71 DOT 84
72 COPY 84
73 SQRTX 48
74 SQRTX 48
75 COPY 60
76 TGAMMA 60
77 ERF 48
78 SUM 108
79 SUM 108
80 POW 36
81 SUM 84
82 ERF 12
83 ERF 24
84 XPY 48
85 POW 36
86 TGAMMA 12
87 ERF 24
88 TGAMMA 120
89 COPY 84
90 SUM 132
91 SQRTX 48
92 XPY 60
93 COPY 84
94 TGAMMA 12
95 POW 24
96 SQRTX 12
97 ERF 24
98 XPY 48
99 XPY 48
DEPS 0
CORES 0
