JOBS 100
0 SUM 108
1 POW 12
2 TGAMMA 120
3 TGAMMA 12
4 ERF 48
5 COPY 84
6 COPY 60
7 ERF 24
8 DOT 36
9 POW 24
10 TGAMMA 12
11 TGAMMA 12
12 DOT 36
13 ERF 24
14 ERF 12
15 ERF 48
16 DOT 84
17 ERF 24
18 TGAMMA 12
19 XPY 60
20 ERF 24
21 POW 12
22 ERF 48
23 SUM 84
24 SUM 84
25 SQRTX 48
26 TGAMMA 12
27 POW 12
28 POW 24
29 COPY 60
30 TGAMMA 12
31 ERF 24
32 ERF 48
33 POW 36
34 ERF 48
35 XPY 60
36 ERF 24
37 TGAMMA 120
38 ERF 12
39 POW 12
40 SQRTX 48
41 POW 24
42 XPY 48
43 POW 36
44 ERF 24
45 POW 24
46 ERF 24
47 POW 36
48 TGAMMA 12
49 XPY 48
50 XPY 60
51 XPY 60
52 TGAMMA 120
53 DOT 84
54 XPY 48
55 POW 36
56 XPY 48
57 SUM 132
58 ERF 48
59 ERF 12
60 POW 12
61 POW 36
62 DOT 36
63 SUM 84
64 TGAMMA 60
65 TGAMMA 120
66 SUM 108
67 DOT 84
68 DOT 36
69 XPY 48
70 TGAMMA 12
71 SUM 84
72 COPY 60
73 SUM 108
74 TGAMMA 12
75 COPY 60
76 SUM 84
77 DOT 84
78 SQRTX 48
79 XPY 60
80 XPY 48
81 POW 24
82 XPY 48
83 POW 36
84 COPY 60
85 DOT 36
86 SQRTX 48
87 XPY 60
88 COPY 84
89 POW 36
90 DOT 36
91 POW 24
92 DOT 84
93 ERF 12
94 COPY 84
95 XPY 60
96 TGAMMA 120
97 POW 12
98 SUM 132
99 TGAMMA 12
DEPS 0
CORES 0
