JOBS 100
0 COPY 60
1 COPY 60
2 SUM 132
3 SUM 108
4 DOT 84
5 XPY 60
6 DOT 84
7 SQRTX 12
8 COPY 60
9 SUM 108
10 DOT 84
11 TGAMMA 60
12 TGAMMA 12
13 ERF 24
14 SQRTX 12
15 SUM 108
16 ERF 48
17 TGAMMA 60
18 SQRTX 48
19 COPY 84
20 ERF 48
21 ERF 24
22 SQRTX 48
23 SUM 84
24 DOT 36
25 XPY 48
26 XPY 60
27 POW 12
28 TGAMMA 60
29 SQRTX 48
30 POW 12
31 SUM 108
32 COPY 84
33 SUM 108
34 TGAMMA 120
35 ERF 12
36 POW 12
37 POW 24
38 ERF 48
39 SQRTX 48
40 SQRTX 12
41 TGAMMA 12
42 SUM 108
43 COPY 60
44 SUM 108
45 ERF 12
46 POW 36
47 SQRTX 48
48 ERF 24
49 DOT 36
50 POW 24
51 POW 36
52 XPY 60
53 DOT 84
54 SUM 84
55 ERF 12
56 XPY 48
57 POW 24
58 TGAMMA 60
59 TGAMMA 12
60 SUM 132
61 ERF 24
62 XPY 60
63 SUM 132
64 XPY 48
65 SUM 84
66 SUM 108
67 POW 12
68 ERF 48
69 ERF 48
70 COPY 84
71 DOT 84
72 TGAMMA 60
73 ERF 12
74 POW 24
75 SUM 132
76 SUM 132
77 TGAMMA 120
78 POW 12
79 TGAMMA 12
80 SUM 84
81 TGAMMA 60
82 SUM 108
83 POW 12
84 TGAMMA 12
85 SUM 84
86 SUM 84
87 POW 36
88 TGAMMA 60
89 XPY 60
90 TGAMMA 12
91 COPY 60
92 DOT 36
93 XPY 60
94 ERF 12
95 SUM 84
96 POW 24
97 DOT 36
98 ERF 12
99 DOT 36
DEPS 0
CORES 0
