JOBS 100
0 SUM 108
1 SQRTX 48
2 SUM 132
3 TGAMMA 120
4 SQRTX 12
5 POW 24
6 ERF 12
7 DOT 84
8 SUM 108
9 SQRTX 12
10 DOT 84
11 TGAMMA 12
12 POW 36
13 POW 36
14 TGAMMA 120
15 TGAMMA 120
16 SUM 132
17 POW 12
18 SUM 108
19 DOT 36
20 SUM 108
21 SUM 108
22 COPY 60
23 DOT 36
24 COPY 84
25 COPY 84
26 POW 24
27 SQRTX 48
28 SUM 132
29 XPY 60
30 TGAMMA 60
31 SUM 132
32 COPY 84
33 POW 24
34 ERF 48
35 TGAMMA 120
36 ERF 12
37 SUM 84
38 DOT 36
39 XPY 48
40 POW 36
41 DOT 84
42 DOT 84
43 TGAMMA 120
44 SUM 108
45 XPY 60
46 TGAMMA 120
47 COPY 84
48 DOT 36
49 TGAMMA 60
50 ERF 48
51 ERF 48
52 COPY 84
53 ERF 12
54 ERF 12
55 XPY 60
56 SQRTX 12
57 TGAMMA 120
58 ERF 24
59 ERF 12
60 XPY 60
61 ERF 12
62 ERF 48
63 XPY 48
64 SUM 132
65 POW 12
66 TGAMMA 12
67 DOT 36
68 COPY 60
69 TGAMMA 60
70 COPY 84
71 SUM 132
72 DOT 36
73 TGAMMA 12
74 DOT 36
75 SQRTX 48
76 XPY 48
77 DOT 36
78 ERF 24
79 COPY 84
80 XPY 60
81 ERF 24
82 COPY 60
83 ERF 48
84 XPY 60
85 TGAMMA 120
86 XPY 48
87 SUM 108
88 XPY 60
89 TGAMMA 60
90 XPY 60
91 DOT 36
92 DOT 36
93 DOT 36
94 TGAMMA 12
95 ERF 24
96 SQRTX 12
97 SQRTX 12
98 SUM 132
99 TGAMMA 12
DEPS 0
CORES 0
