JOBS 100
0 TGAMMA 60
1 SQRTX 12
2 COPY 60
3 DOT 84
4 DOT 84
5 XPY 60
6 SUM 84
7 ERF 48
8 SUM 108
9 ERF 48
10 ERF 12
11 TGAMMA 12
12 XPY 60
13 DOT 36
14 SUM 108
15 ERF 48
16 COPY 60
17 ERF 48
18 POW 24
19 TGAMMA 120
20 SUM 108
21 SUM 108
22 ERF 12
23 ERF 12
24 TGAMMA 60
25 ERF 24
26 ERF 48
27 SUM 132
28 SQRTX 48
29 ERF 24
30 SUM 132
31 DOT 84
32 XPY 48
33 TGAMMA 120
34 SUM 132
35 SUM 84
36 TGAMMA 12
37 XPY 48
38 ERF 12
39 COPY 84
40 TGAMMA 60
41 POW 12
42 TGAMMA 12
43 DOT 84
44 DOT 36
45 SQRTX 48
46 SUM 84
47 SUM 132
48 ERF 24
49 POW 24
50 SUM 108
51 ERF 24
52 SQRTX 12
53 TGAMMA 120
54 COPY 84
55 SUM 84
56 TGAMMA 12
57 SUM 84
58 TGAMMA 60
59 COPY 84
60 DOT 36
61 ERF 12
62 SUM 108
63 SQRTX 12
64 POW 12
65 ERF 12
66 ERF 24
67 TGAMMA 120
68 POW 12
69 ERF 24
70 ERF 12
71 DOT 36
72 ERF 12
73 POW 12
74 XPY 60
75 TGAMMA 120
76 SUM 132
77 POW 24
78 SQRTX 12
79 SQRTX 12
80 SQRTX 12
81 SQRTX 12
82 POW 36
83 TGAMMA 12
84 COPY 84
85 TGAMMA 120
86 POW 24
87 SUM 108
88 SUM 84
89 XPY 48
90 TGAMMA 60
91 COPY 60
92 COPY 84
93 SQRTX 12
94 SUM 108
95 TGAMMA 12
96 POW 24
97 ERF 48
98 SUM 84
99 XPY 60
DEPS 0
CORES 0
