JOBS 100
0 POW 36
1 DOT 84
2 POW 36
3 ERF 24
4 TGAMMA 12
5 COPY 60
6 POW 36
7 DOT 36
8 POW 12
9 POW 24
10 TGAMMA 12
11 XPY 60
12 ERF 12
13 SUM 108
14 POW 36
15 ERF 24
16 XPY 48
17 ERF 24
18 ERF 24
19 SUM 84
20 COPY 84
21 XPY 48
22 XPY 48
23 POW 24
24 TGAMMA 60
25 ERF 48
26 ERF 12
27 XPY 60
28 SQRTX 48
29 POW 36
30 DOT 84
31 XPY 60
32 TGAMMA 120
33 POW 36
34 POW 24
35 COPY 60
36 DOT 84
37 COPY 60
38 POW 36
39 SQRTX 12
40 ERF 24
41 SUM 108
42 TGAMMA 12
43 SUM 84
44 SQRTX 48
45 POW 24
46 ERF 12
47 TGAMMA 120
48 POW 36
49 SQRTX 12
50 SUM 108
51 SUM 108
52 POW 36
53 TGAMMA 60
54 SQRTX 12
55 SUM 108
56 TGAMMA 12
57 ERF 48
58 POW 24
59 TGAMMA 120
60 SUM 132
61 DOT 84
62 ERF 24
63 ERF 24
64 TGAMMA 120
65 DOT 36
66 ERF 48
67 ERF 24
68 DOT 84
69 XPY 60
70 POW 36
71 COPY 60
72 DOT 84
73 ERF 48
74 COPY 84
75 XPY 48
76 TGAMMA 120
77 COPY 84
78 SQRTX 48
79 XPY 48
80 SQRTX 48
81 TGAMMA 60
82 POW 12
83 COPY 84
84 XPY 48
85 SQRTX 12
86 SUM 84
87 TGAMMA 120
88 POW 24
89 DOT 84
90 DOT 36
91 TGAMMA 60
92 XPY 48
93 TGAMMA 120
94 XPY 60
95 ERF 24
96 TGAMMA 12
97 ERF 24
98 ERF 12
99 SUM 108
DEPS 0
CORES 0
