JOBS 100
0 ERF 24
1 DOT 36
2 SUM 132
3 COPY 60
4 ERF 48
5 ERF 24
6 TGAMMA 12
7 DOT 84
8 ERF 12
9 ERF 12
10 ERF 12
11 SUM 84
12 ERF 48
13 COPY 60
14 SUM 132
15 SUM 84
16 COPY 84
17 XPY 60
18 SQRTX 48
19 SUM 132
20 ERF 24
21 XPY 48
22 SQRTX 12
23 SUM 108
24 COPY 60
25 POW 24
26 XPY 60
27 SUM 108
28 SUM 108
29 SUM 132
30 ERF 48
31 COPY 84
32 SQRTX 48
33 SQRTX 12
34 TGAMMA 60
35 POW 12
36 TGAMMA 120
37 XPY 48
38 ERF 24
39 TGAMMA 12
40 POW 12
41 TGAMMA 12
42 POW 36
43 ERF 24
44 ERF 24
45 COPY 60
46 SUM 108
47 ERF 24
48 SQRTX 48
49 ERF 24
50 ERF 12
51 DOT 84
52 ERF 12
53 ERF 24
54 TGAMMA 12
55 ERF 48
56 SUM 84
57 POW 24
58 SQRTX 48
59 POW 36
60 COPY 60
61 SUM 84
62 XPY 60
63 TGAMMA 60
64 ERF 12
65 XPY 60
66 ERF 24
67 DOT 36
68 COPY 84
69 TGAMMA 60
70 POW 12
71 TGAMMA 12
72 DOT 36
73 TGAMMA 60
74 ERF 12
75 SQRTX 12
76 ERF 12
77 XPY 48
78 TGAMMA 12
79 XPY 48
80 COPY 60
81 TGAMMA 60
82 TGAMMA 12
83 ERF 12
84 POW 24
85 TGAMMA 12
86 TGAMMA 120
87 ERF 24
88 TGAMMA 12
89 ERF 48
90 XPY 48
91 COPY 84
92 COPY 84
93 POW 36
94 XPY 60
95 DOT 84
96 SUM 84
97 POW 12
98 TGAMMA 60
99 TGAMMA 12
DEPS 0
CORES 0
