JOBS 100
0 COPY 60
1 POW 24
2 XPY 48
3 POW 24
4 DOT 84
5 TGAMMA 120
6 ERF 24
7 ERF 48
8 ERF 48
9 ERF 48
10 SUM 84
11 COPY 84
12 POW 12
13 TGAMMA 12
14 SQRTX 48
15 POW 24
16 TGAMMA 60
17 ERF 12
18 ERF 24
19 SUM 108
20 DOT 84
21 DOT 84
22 XPY 48
23 POW 24
24 ERF 12
25 ERF 12
26 DOT 36
27 DOT 84
28 SQRTX 48
29 POW 36
30 TGAMMA 60
31 SUM 108
32 DOT 36
33 POW 12
34 DOT 84
35 COPY 60
36 DOT 36
37 POW 36
38 TGAMMA 120
39 POW 24
40 SQRTX 12
41 POW 24
42 SUM 84
43 TGAMMA 60
44 SUM 132
45 POW 24
46 COPY 60
47 XPY 60
48 SQRTX 12
49 XPY 60
50 TGAMMA 60
51 SUM 132
52 SQRTX 12
53 XPY 48
54 TGAMMA 12
55 COPY 84
56 POW 12
57 POW 24
58 XPY 60
59 XPY 60
60 TGAMMA 60
61 COPY 84
62 SQRTX 48
63 TGAMMA 120
64 SQRTX 12
65 POW 12
66 POW 24
67 SUM 108
68 POW 12
69 SQRTX 48
70 ERF 48
71 TGAMMA 120
72 TGAMMA 60
73 SUM 84
74 TGAMMA 60
75 XPY 60
76 ERF 48
77 ERF 12
78 POW 36
79 TGAMMA 60
80 XPY 60
81 TGAMMA 60
82 SQRTX 48
83 DOT 84
84 POW 12
85 COPY 60
86 ERF 24
87 TGAMMA 60
88 SQRTX 48
89 COPY 60
90 ERF 12
91 COPY 60
92 TGAMMA 120
93 DOT 84
94 SUM 108
95 SQRTX 48
96 DOT 36
97 ERF 12
98 XPY 60
99 ERF 48
DEPS 0
CORES 0
