JOBS 100
0 TGAMMA 12
1 SUM 84
2 SUM 108
3 TGAMMA 12
4 DOT 36
5 COPY 84
6 SQRTX 12
7 TGAMMA 120
8 POW 24
9 ERF 48
10 SUM 108
11 SQRTX 48
12 TGAMMA 12
13 ERF 48
14 DOT 36
15 ERF 24
16 TGAMMA 60
17 DOT 36
18 ERF 12
19 DOT 84
20 DOT 84
21 XPY 48
22 COPY 84
23 SUM 108
24 COPY 60
25 ERF 24
26 SUM 108
27 SUM 132
28 TGAMMA 60
29 ERF 24
30 COPY 60
31 SUM 84
32 SQRTX 48
33 TGAMMA 60
34 TGAMMA 120
35 XPY 60
36 COPY 84
37 SUM 108
38 SQRTX 48
39 COPY 84
40 XPY 60
41 POW 12
42 COPY 60
43 COPY 60
44 POW 12
45 XPY 60
46 SUM 108
47 SUM 84
48 COPY 60
49 ERF 12
50 ERF 24
51 ERF 12
52 XPY 48
53 POW 24
54 ERF 12
55 DOT 36
56 DOT 36
57 TGAMMA 60
58 TGAMMA 60
59 SQRTX 12
60 XPY 48
61 SUM 84
62 DOT 36
63 DOT 84
64 POW 36
65 XPY 48
66 SQRTX 12
67 SQRTX 12
68 POW 12
69 ERF 24
70 TGAMMA 120
71 SUM 108
72 ERF 48
73 COPY 60
74 ERF 12
75 COPY 84
76 ERF 12
77 SQRTX 48
78 SQRTX 12
79 TGAMMA 12
80 COPY 60
81 XPY 60
82 DOT 36
83 SUM 84
84 SUM 132
85 POW 36
86 SQRTX 48
87 ERF 12
88 XPY 60
89 XPY 60
90 COPY 60
91 XPY 48
92 SUM 84
93 DOT 36
94 SUM 108
95 ERF 48
96 COPY 84
97 DOT 36
98 POW 12
99 XPY 60
DEPS 0
CORES 0
