JOBS 100
0 SQRTX 48
1 COPY 84
2 POW 24
3 SUM 84
4 XPY 48
5 XPY 48
6 SUM 84
7 XPY 48
8 SUM 84
9 TGAMMA 120
10 COPY 60
11 SUM 108
12 POW 36
13 SUM 132
14 COPY 60
15 POW 24
16 TGAMMA 120
17 DOT 36
18 POW 12
19 POW 12
20 COPY 84
21 COPY 84
22 COPY 84
23 TGAMMA 120
24 POW 24
25 DOT 84
26 COPY 84
27 POW 36
28 TGAMMA 120
29 POW 36
30 POW 12
31 ERF 12
32 ERF 12
33 DOT 36
34 COPY 60
35 TGAMMA 12
36 TGAMMA 120
37 POW 36
38 POW 36
39 XPY 48
40 SUM 108
41 TGAMMA 12
42 ERF 24
43 TGAMMA 60
44 ERF 48
45 XPY 60
46 TGAMMA 12
47 POW 36
48 ERF 12
49 POW 12
50 SUM 108
51 TGAMMA 12
52 POW 12
53 POW 36
54 SUM 108
55 POW 24
56 COPY 84
57 POW 36
58 TGAMMA 12
59 SUM 108
60 SQRTX 48
61 POW 12
62 SUM 108
63 DOT 84
64 DOT 36
65 SUM 108
66 SUM 84
67 TGAMMA 60
68 DOT 84
69 TGAMMA 120
70 POW 24
71 SUM 132
72 DOT 36
73 TGAMMA 120
74 SQRTX 12
75 POW 36
76 SUM 108
77 POW 12
78 XPY 60
79 TGAMMA 120
80 TGAMMA 12
81 TGAMMA 120
82 POW 24
83 SUM 132
84 XPY 60
85 SQRTX 12
86 DOT 36
87 COPY 84
88 POW 24
89 SUM 108
90 POW 12
91 TGAMMA 60
92 ERF 48
93 COPY 84
94 SUM 132
95 SUM 132
96 XPY 60
97 TGAMMA 12
98 TGAMMA 12
99 TGAMMA 60
DEPS 0
