JOBS 100
0 POW 12
1 TGAMMA 120
2 DOT 36
3 POW 12
4 POW 36
5 TGAMMA 60
6 TGAMMA 12
7 XPY 60
8 TGAMMA 12
9 XPY 60
10 POW 36
11 POW 36
12 DOT 36
13 COPY 84
14 COPY 60
15 COPY 84
16 SQRTX 12
17 SUM 132
18 SUM 132
19 COPY 84
20 COPY 60
21 COPY 84
22 COPY 84
23 SUM 132
24 COPY 60
25 TGAMMA 12
26 DOT 84
27 SQRTX 12
28 TGAMMA 120
29 SUM 108
30 SUM 108
31 XPY 48
32 SQRTX 12
33 SUM 132
34 SUM 132
35 COPY 60
36 DOT 36
37 ERF 12
38 COPY 60
39 SUM 84
40 DOT 36
41 XPY 60
42 DOT 84
43 XPY 60
44 POW 24
45 TGAMMA 12
46 COPY 84
47 DOT 36
48 SUM 84
49 SUM 84
50 XPY 48
51 SUM 108
52 DOT 84
53 POW 24
54 DOT 84
55 SQRTX 48
56 ERF 24
57 XPY 48
58 SUM 132
59 SUM 108
60 TGAMMA 120
61 COPY 84
62 DOT 36
63 TGAMMA 12
64 XPY 48
65 COPY 60
66 SUM 84
67 SQRTX 12
68 TGAMMA 12
69 COPY 60
70 DOT 84
71 POW 36
72 SUM 84
73 DOT 84
74 TGAMMA 120
75 COPY 60
76 XPY 60
77 TGAMMA 120
78 SUM 132
79 XPY 48
80 TGAMMA 120
81 TGAMMA 60
82 COPY 84
83 ERF 48
84 COPY 60
85 SUM 84
86 POW 12
87 DOT 36
88 SUM 132
89 XPY 60
90 POW 36
91 SUM 132
92 DOT 84
93 SQRTX 48
94 SUM 84
95 ERF 48
96 DOT 36
97 TGAMMA 12
98 DOT 36
99 DOT 36
DEPS 0
