JOBS 100
0 TGAMMA 120
1 TGAMMA 120
2 TGAMMA 120
3 TGAMMA 120
4 DOT 36
5 POW 24
6 TGAMMA 12
7 TGAMMA 12
8 COPY 60
9 POW 36
10 SQRTX 12
11 TGAMMA 120
12 TGAMMA 60
13 TGAMMA 120
14 TGAMMA 12
15 XPY 60
16 TGAMMA 12
17 TGAMMA 60
18 SUM 132
19 XPY 60
20 TGAMMA 120
21 ERF 12
22 SQRTX 12
23 POW 36
24 POW 36
25 ERF 24
26 POW 12
27 TGAMMA 12
28 XPY 60
29 ERF 48
30 ERF 12
31 POW 36
32 TGAMMA 120
33 SUM 108
34 POW 24
35 POW 36
36 TGAMMA 120
37 TGAMMA 12
38 POW 36
39 DOT 84
40 TGAMMA 120
41 TGAMMA 120
42 SUM 84
43 POW 12
44 POW 24
45 XPY 48
46 POW 36
47 TGAMMA 120
48 TGAMMA 12
49 ERF 12
50 DOT 84
51 SUM 132
52 POW 24
53 ERF 48
54 TGAMMA 120
55 COPY 60
56 XPY 60
57 POW 12
58 POW 36
59 TGAMMA 12
60 XPY 60
61 POW 12
62 TGAMMA 120
63 POW 24
64 POW 24
65 POW 24
66 TGAMMA 120
67 DOT 36
68 POW 24
69 POW 36
70 TGAMMA 120
71 SQRTX 12
72 TGAMMA 60
73 DOT 84
74 POW 36
75 TGAMMA 12
76 POW 36
77 POW 24
78 TGAMMA 120
79 COPY 60
80 TGAMMA 120
81 POW 12
82 TGAMMA 12
83 XPY 48
84 XPY 48
85 TGAMMA 60
86 POW 24
87 TGAMMA 120
88 COPY 84
89 TGAMMA 120
90 POW 12
91 POW 24
92 TGAMMA 60
93 TGAMMA 60
94 DOT 36
95 DOT 36
96 TGAMMA 60
97 DOT 84
98 ERF 24
99 SUM 84
DEPS 0
