JOBS 100
0 DOT 84
1 COPY 84
2 XPY 48
3 SUM 132
4 SUM 132
5 XPY 60
6 TGAMMA 120
7 COPY 60
8 COPY 60
9 TGAMMA 120
10 XPY 60
11 DOT 36
12 SUM 132
13 XPY 60
14 SUM 132
15 DOT 84
16 POW 36
17 COPY 84
18 TGAMMA 60
19 SUM 84
20 ERF 24
21 POW 12
22 COPY 84
23 SUM 132
24 ERF 48
25 SUM 132
26 COPY 60
27 SUM 84
28 XPY 60
29 XPY 48
30 COPY 60
31 DOT 36
32 SUM 84
33 DOT 84
34 XPY 60
35 DOT 36
36 SUM 132
37 SUM 108
38 POW 36
39 TGAMMA 120
40 SUM 108
41 TGAMMA 12
42 SUM 84
43 ERF 24
44 SUM 132
45 XPY 60
46 TGAMMA 120
47 DOT 36
48 POW 12
49 COPY 60
50 SUM 84
51 SQRTX 48
52 COPY 60
53 SUM 108
54 TGAMMA 120
55 SUM 132
56 TGAMMA 60
57 POW 36
58 COPY 60
59 SUM 84
60 COPY 84
61 ERF 12
62 COPY 60
63 XPY 60
64 XPY 48
65 POW 36
66 POW 24
67 DOT 36
68 POW 24
69 DOT 36
70 SUM 84
71 DOT 84
72 TGAMMA 12
73 ERF 24
74 SUM 132
75 POW 36
76 TGAMMA 12
77 TGAMMA 12
78 COPY 60
79 DOT 84
80 TGAMMA 12
81 POW 36
82 TGAMMA 60
83 COPY 60
84 SUM 84
85 TGAMMA 120
86 SUM 84
87 COPY 84
88 ERF 12
89 COPY 84
90 SUM 84
91 XPY 48
92 COPY 60
93 SUM 84
94 SUM 108
95 DOT 36
96 SQRTX 48
97 SQRTX 12
98 ERF 48
99 TGAMMA 120
DEPS 0
