JOBS 100
0 DOT 84
1 XPY 60
2 DOT 84
3 XPY 60
4 DOT 36
5 XPY 48
6 DOT 84
7 XPY 48
8 SUM 84
9 XPY 60
10 DOT 84
11 XPY 48
12 SUM 108
13 SUM 84
14 COPY 84
15 XPY 48
16 DOT 36
17 XPY 60
18 DOT 36
19 SUM 84
20 XPY 60
21 XPY 60
22 XPY 48
23 SUM 108
24 DOT 84
25 XPY 60
26 SUM 84
27 COPY 84
28 COPY 84
29 SUM 84
30 DOT 84
31 SUM 84
32 SUM 84
33 SUM 132
34 COPY 60
35 COPY 60
36 XPY 48
37 SUM 132
38 XPY 60
39 DOT 84
40 SUM 132
41 COPY 60
42 SUM 108
43 COPY 84
44 DOT 84
45 DOT 84
46 XPY 48
47 SUM 108
48 DOT 84
49 SUM 84
50 POW 12
51 POW 12
52 POW 36
53 POW 12
54 POW 12
55 POW 12
56 POW 36
57 POW 12
58 POW 12
59 TGAMMA 60
60 TGAMMA 120
61 POW 12
62 TGAMMA 12
63 POW 24
64 POW 24
65 TGAMMA 60
66 POW 36
67 POW 36
68 POW 12
69 TGAMMA 12
70 TGAMMA 120
71 TGAMMA 12
72 TGAMMA 12
73 TGAMMA 60
74 TGAMMA 120
75 POW 12
76 TGAMMA 12
77 POW 24
78 POW 12
79 POW 24
80 TGAMMA 60
81 POW 36
82 TGAMMA 12
83 POW 12
84 POW 24
85 TGAMMA 12
86 TGAMMA 60
87 TGAMMA 120
88 POW 12
89 TGAMMA 120
90 TGAMMA 12
91 TGAMMA 12
92 TGAMMA 60
93 TGAMMA 120
94 POW 36
95 POW 36
96 POW 12
97 TGAMMA 60
98 POW 36
99 TGAMMA 60
DEPS 0
