JOBS 100
0 SUM 132
1 DOT 36
2 SUM 132
3 SUM 108
4 SUM 108
5 COPY 60
6 SUM 108
7 SUM 132
8 DOT 36
9 SUM 108
10 COPY 84
11 COPY 84
12 DOT 36
13 DOT 36
14 DOT 36
15 SUM 108
16 XPY 48
17 COPY 60
18 SUM 84
19 XPY 60
20 DOT 36
21 COPY 60
22 COPY 60
23 XPY 60
24 SUM 108
25 SUM 84
26 SUM 108
27 XPY 60
28 XPY 60
29 SUM 108
30 DOT 84
31 COPY 84
32 SUM 132
33 XPY 48
34 COPY 60
35 SUM 132
36 COPY 60
37 DOT 36
38 XPY 48
39 SUM 84
40 XPY 60
41 SUM 132
42 SUM 84
43 DOT 84
44 COPY 84
45 COPY 84
46 SUM 132
47 SUM 132
48 SUM 84
49 DOT 84
50 TGAMMA 60
51 POW 24
52 TGAMMA 60
53 POW 12
54 POW 12
55 TGAMMA 12
56 POW 12
57 POW 24
58 TGAMMA 120
59 TGAMMA 60
60 TGAMMA 12
61 POW 12
62 TGAMMA 60
63 TGAMMA 60
64 POW 24
65 POW 36
66 POW 24
67 POW 12
68 TGAMMA 12
69 POW 24
70 POW 36
71 TGAMMA 12
72 TGAMMA 60
73 TGAMMA 12
74 TGAMMA 120
75 POW 12
76 TGAMMA 12
77 POW 12
78 POW 12
79 POW 36
80 TGAMMA 60
81 TGAMMA 60
82 TGAMMA 12
83 POW 12
84 POW 12
85 POW 36
86 TGAMMA 60
87 POW 36
88 POW 24
89 POW 12
90 TGAMMA 120
91 POW 24
92 POW 36
93 POW 12
94 TGAMMA 60
95 POW 36
96 POW 12
97 POW 36
98 TGAMMA 12
99 TGAMMA 120
DEPS 0
