JOBS 100
0 SUM 84
1 XPY 48
2 DOT 84
3 ERF 48
4 SUM 132
5 XPY 60
6 ERF 12
7 ERF 48
8 COPY 84
9 DOT 84
10 TGAMMA 120
11 SQRTX 48
12 COPY 60
13 TGAMMA 60
14 SUM 108
15 SUM 132
16 POW 36
17 TGAMMA 12
18 COPY 60
19 POW 12
20 SUM 132
21 POW 24
22 SUM 108
23 SUM 108
24 TGAMMA 60
25 TGAMMA 60
26 XPY 60
27 XPY 48
28 SUM 132
29 COPY 84
30 ERF 24
31 COPY 60
32 SQRTX 48
33 TGAMMA 60
34 POW 36
35 COPY 84
36 POW 24
37 TGAMMA 120
38 TGAMMA 120
39 SUM 108
40 SUM 108
41 TGAMMA 12
42 DOT 36
43 XPY 48
44 DOT 84
45 ERF 48
46 XPY 48
47 XPY 60
48 POW 36
49 POW 36
50 TGAMMA 60
51 POW 12
52 TGAMMA 12
53 POW 36
54 COPY 84
55 POW 36
56 TGAMMA 120
57 POW 24
58 TGAMMA 60
59 POW 12
60 POW 24
61 POW 24
62 COPY 84
63 XPY 48
64 TGAMMA 120
65 XPY 60
66 POW 24
67 POW 36
68 POW 12
69 TGAMMA 60
70 TGAMMA 120
71 COPY 60
72 POW 12
73 ERF 48
74 DOT 84
75 TGAMMA 12
76 TGAMMA 12
77 SUM 84
78 DOT 36
79 TGAMMA 120
80 ERF 24
81 COPY 84
82 POW 12
83 POW 12
84 DOT 84
85 POW 12
86 POW 12
87 DOT 36
88 XPY 48
89 XPY 60
90 SUM 84
91 POW 12
92 DOT 36
93 COPY 60
94 SQRTX 48
95 POW 12
96 COPY 60
97 POW 36
98 POW 24
99 SUM 84
DEPS 0
