JOBS 100
0 DOT 36
1 COPY 84
2 POW 36
3 POW 24
4 SUM 132
5 SUM 108
6 XPY 48
7 DOT 36
8 DOT 84
9 POW 36
10 SUM 108
11 COPY 84
12 COPY 84
13 TGAMMA 60
14 COPY 84
15 SUM 132
16 COPY 84
17 COPY 84
18 SQRTX 48
19 XPY 60
20 XPY 48
21 DOT 36
22 POW 36
23 DOT 36
24 SUM 132
25 DOT 36
26 TGAMMA 12
27 COPY 60
28 TGAMMA 60
29 DOT 84
30 ERF 24
31 SUM 84
32 POW 36
33 DOT 84
34 COPY 84
35 SUM 108
36 SUM 108
37 COPY 84
38 TGAMMA 120
39 XPY 60
40 TGAMMA 12
41 COPY 60
42 SUM 84
43 TGAMMA 12
44 SUM 108
45 SUM 132
46 SUM 132
47 SUM 84
48 TGAMMA 120
49 DOT 84
50 POW 24
51 SUM 132
52 COPY 84
53 COPY 84
54 POW 24
55 COPY 60
56 TGAMMA 120
57 TGAMMA 12
58 POW 24
59 SQRTX 12
60 XPY 60
61 POW 36
62 SUM 108
63 POW 12
64 POW 12
65 XPY 48
66 SUM 132
67 COPY 60
68 SUM 84
69 XPY 60
70 ERF 48
71 COPY 60
72 SQRTX 48
73 XPY 60
74 XPY 60
75 ERF 12
76 XPY 60
77 XPY 60
78 XPY 60
79 COPY 60
80 COPY 60
81 ERF 12
82 POW 36
83 COPY 60
84 ERF 24
85 POW 12
86 COPY 84
87 SUM 84
88 DOT 36
89 SQRTX 48
90 SUM 132
91 XPY 60
92 POW 12
93 DOT 84
94 SUM 84
95 ERF 48
96 TGAMMA 12
97 COPY 60
98 XPY 60
99 TGAMMA 120
DEPS 0
