JOBS 100
0 SUM 108
1 XPY 60
2 SUM 84
3 COPY 84
4 SUM 108
5 SUM 108
6 DOT 36
7 XPY 48
8 XPY 60
9 SUM 84
10 SUM 132
11 DOT 36
12 COPY 60
13 XPY 48
14 DOT 36
15 XPY 48
16 DOT 84
17 SUM 132
18 SUM 84
19 DOT 36
20 SUM 84
21 SUM 84
22 COPY 60
23 SUM 84
24 DOT 84
25 SUM 108
26 DOT 84
27 SUM 108
28 SUM 108
29 SUM 132
30 SUM 84
31 SUM 108
32 DOT 84
33 SUM 108
34 SUM 132
35 COPY 84
36 SUM 84
37 COPY 84
38 SUM 84
39 SUM 84
40 SUM 132
41 SUM 132
42 COPY 60
43 XPY 60
44 SUM 132
45 SUM 132
46 SUM 108
47 XPY 60
48 XPY 48
49 SUM 84
50 TGAMMA 60
51 TGAMMA 12
52 POW 24
53 POW 12
54 TGAMMA 120
55 POW 12
56 POW 36
57 POW 36
58 TGAMMA 120
59 POW 36
60 TGAMMA 12
61 TGAMMA 12
62 TGAMMA 12
63 POW 24
64 POW 12
65 TGAMMA 120
66 POW 36
67 POW 24
68 POW 36
69 POW 36
70 POW 36
71 POW 12
72 POW 24
73 POW 36
74 TGAMMA 60
75 POW 24
76 TGAMMA 120
77 POW 12
78 TGAMMA 120
79 TGAMMA 60
80 TGAMMA 120
81 TGAMMA 12
82 POW 36
83 POW 24
84 TGAMMA 60
85 POW 24
86 POW 24
87 POW 24
88 TGAMMA 12
89 TGAMMA 120
90 POW 36
91 POW 24
92 TGAMMA 120
93 POW 24
94 TGAMMA 60
95 POW 24
96 POW 36
97 POW 24
98 TGAMMA 60
99 POW 24
DEPS 0
