JOBS 100
0 SUM 132
1 COPY 84
2 TGAMMA 120
3 TGAMMA 12
4 SUM 84
5 DOT 36
6 SUM 132
7 SUM 84
8 COPY 60
9 DOT 36
10 SQRTX 48
11 XPY 60
12 TGAMMA 120
13 DOT 84
14 COPY 60
15 COPY 84
16 COPY 84
17 TGAMMA 60
18 SQRTX 48
19 ERF 12
20 SUM 108
21 DOT 84
22 POW 12
23 SUM 132
24 COPY 60
25 POW 36
26 SUM 84
27 DOT 36
28 DOT 36
29 COPY 84
30 XPY 48
31 TGAMMA 120
32 SUM 132
33 SUM 108
34 SQRTX 12
35 COPY 84
36 COPY 84
37 POW 36
38 XPY 48
39 COPY 60
40 POW 12
41 COPY 84
42 SQRTX 12
43 DOT 84
44 XPY 48
45 POW 24
46 TGAMMA 120
47 SUM 108
48 DOT 36
49 ERF 24
50 SUM 132
51 COPY 84
52 POW 24
53 XPY 60
54 TGAMMA 120
55 TGAMMA 12
56 DOT 84
57 SUM 132
58 SUM 84
59 COPY 84
60 SUM 132
61 DOT 84
62 TGAMMA 120
63 COPY 84
64 SUM 132
65 ERF 48
66 TGAMMA 60
67 SUM 84
68 DOT 36
69 POW 12
70 DOT 84
71 TGAMMA 120
72 TGAMMA 120
73 SUM 132
74 SUM 132
75 DOT 84
76 TGAMMA 120
77 COPY 60
78 DOT 84
79 ERF 24
80 POW 12
81 DOT 84
82 XPY 60
83 SUM 132
84 ERF 24
85 SUM 84
86 TGAMMA 60
87 COPY 60
88 SUM 108
89 SUM 132
90 SUM 108
91 XPY 48
92 COPY 84
93 SUM 84
94 SUM 84
95 TGAMMA 60
96 COPY 84
97 TGAMMA 120
98 TGAMMA 120
99 ERF 24
DEPS 0
