JOBS 100
0 POW 12
1 COPY 84
2 TGAMMA 120
3 POW 36
4 SUM 84
5 SUM 84
6 COPY 84
7 XPY 60
8 COPY 84
9 POW 36
10 DOT 84
11 COPY 60
12 POW 12
13 TGAMMA 12
14 POW 24
15 ERF 48
16 TGAMMA 120
17 XPY 48
18 SUM 108
19 DOT 84
20 SUM 108
21 POW 36
22 POW 36
23 TGAMMA 120
24 SUM 84
25 SUM 132
26 ERF 24
27 TGAMMA 12
28 DOT 36
29 DOT 84
30 POW 12
31 DOT 36
32 POW 24
33 TGAMMA 12
34 SQRTX 48
35 SUM 132
36 TGAMMA 12
37 POW 12
38 ERF 48
39 TGAMMA 12
40 TGAMMA 12
41 XPY 60
42 POW 12
43 TGAMMA 120
44 TGAMMA 120
45 TGAMMA 120
46 POW 24
47 TGAMMA 120
48 DOT 36
49 DOT 36
50 COPY 84
51 XPY 60
52 XPY 60
53 DOT 84
54 COPY 60
55 TGAMMA 120
56 TGAMMA 120
57 SUM 132
58 TGAMMA 12
59 SUM 132
60 COPY 84
61 DOT 84
62 POW 24
63 POW 24
64 XPY 60
65 POW 24
66 TGAMMA 120
67 POW 24
68 POW 24
69 POW 24
70 TGAMMA 60
71 TGAMMA 60
72 ERF 48
73 ERF 12
74 DOT 36
75 TGAMMA 12
76 XPY 60
77 XPY 60
78 XPY 60
79 ERF 24
80 DOT 36
81 TGAMMA 60
82 TGAMMA 120
83 TGAMMA 60
84 ERF 24
85 SUM 132
86 SUM 84
87 TGAMMA 60
88 SUM 132
89 DOT 36
90 XPY 60
91 XPY 60
92 POW 12
93 SUM 84
94 ERF 12
95 XPY 60
96 TGAMMA 12
97 TGAMMA 60
98 DOT 36
99 SQRTX 12
DEPS 0
