JOBS 100
0 TGAMMA 60
1 SUM 108
2 COPY 84
3 TGAMMA 60
4 DOT 84
5 TGAMMA 120
6 TGAMMA 12
7 DOT 84
8 ERF 12
9 TGAMMA 120
10 ERF 24
11 POW 24
12 POW 24
13 POW 12
14 POW 12
15 ERF 48
16 COPY 60
17 POW 36
18 POW 36
19 TGAMMA 60
20 ERF 12
21 ERF 12
22 DOT 84
23 DOT 84
24 TGAMMA 120
25 POW 36
26 POW 24
27 POW 24
28 POW 12
29 POW 24
30 TGAMMA 120
31 TGAMMA 12
32 DOT 36
33 COPY 60
34 POW 36
35 POW 24
36 ERF 48
37 TGAMMA 120
38 POW 36
39 POW 24
40 SUM 108
41 SUM 132
42 TGAMMA 120
43 POW 12
44 SQRTX 12
45 XPY 60
46 XPY 60
47 TGAMMA 120
48 TGAMMA 60
49 TGAMMA 120
50 POW 24
51 TGAMMA 12
52 POW 12
53 POW 24
54 SUM 84
55 XPY 48
56 XPY 48
57 POW 12
58 POW 24
59 POW 12
60 TGAMMA 60
61 TGAMMA 60
62 SUM 84
63 POW 36
64 XPY 48
65 TGAMMA 60
66 XPY 48
67 POW 24
68 TGAMMA 12
69 POW 24
70 XPY 60
71 TGAMMA 60
72 POW 24
73 TGAMMA 120
74 POW 12
75 ERF 48
76 ERF 24
77 POW 36
78 COPY 84
79 TGAMMA 12
80 POW 24
81 XPY 60
82 COPY 84
83 POW 24
84 DOT 36
85 POW 36
86 TGAMMA 120
87 COPY 60
88 TGAMMA 120
89 POW 24
90 TGAMMA 120
91 TGAMMA 60
92 TGAMMA 120
93 TGAMMA 12
94 POW 36
95 ERF 48
96 TGAMMA 12
97 TGAMMA 120
98 TGAMMA 12
99 POW 24
DEPS 0
