JOBS 100
0 SUM 108
1 SQRTX 48
2 ERF 12
3 SUM 108
4 SUM 84
5 SUM 84
6 POW 12
7 DOT 84
8 XPY 60
9 POW 24
10 SUM 84
11 POW 36
12 SUM 132
13 TGAMMA 120
14 TGAMMA 60
15 XPY 48
16 TGAMMA 60
17 XPY 48
18 POW 24
19 SUM 108
20 TGAMMA 12
21 TGAMMA 60
22 SUM 84
23 SUM 108
24 TGAMMA 120
25 POW 12
26 POW 36
27 POW 36
28 POW 36
29 POW 24
30 TGAMMA 12
31 DOT 36
32 COPY 84
33 SUM 108
34 POW 24
35 TGAMMA 120
36 DOT 84
37 XPY 60
38 POW 36
39 TGAMMA 120
40 SUM 108
41 POW 36
42 TGAMMA 120
43 POW 36
44 POW 36
45 SUM 108
46 TGAMMA 12
47 ERF 12
48 TGAMMA 12
49 SUM 132
50 SUM 84
51 SUM 84
52 COPY 60
53 ERF 24
54 POW 24
55 TGAMMA 60
56 SQRTX 48
57 XPY 60
58 TGAMMA 12
59 ERF 12
60 POW 12
61 DOT 36
62 POW 12
63 ERF 24
64 DOT 84
65 DOT 36
66 POW 24
67 TGAMMA 60
68 TGAMMA 12
69 DOT 84
70 TGAMMA 60
71 SUM 108
72 DOT 36
73 COPY 60
74 SUM 84
75 POW 12
76 TGAMMA 60
77 SUM 108
78 SUM 84
79 DOT 36
80 DOT 84
81 COPY 60
82 POW 24
83 TGAMMA 12
84 COPY 60
85 COPY 84
86 TGAMMA 12
87 ERF 12
88 TGAMMA 60
89 DOT 36
90 SUM 108
91 TGAMMA 12
92 SUM 84
93 TGAMMA 120
94 SQRTX 12
95 TGAMMA 12
96 XPY 60
97 ERF 24
98 TGAMMA 60
99 XPY 60
DEPS 0
