JOBS 100
0 POW 24
1 DOT 84
2 DOT 84
3 XPY 48
4 SUM 108
5 TGAMMA 120
6 ERF 12
7 COPY 84
8 SQRTX 12
9 SUM 108
10 ERF 48
11 COPY 84
12 DOT 36
13 SUM 108
14 POW 24
15 SQRTX 48
16 POW 36
17 POW 24
18 COPY 84
19 POW 36
20 POW 24
21 SUM 84
22 POW 24
23 SUM 132
24 TGAMMA 12
25 XPY 48
26 SUM 108
27 SUM 108
28 SUM 132
29 SUM 84
30 ERF 48
31 POW 24
32 XPY 48
33 ERF 24
34 COPY 60
35 SUM 84
36 TGAMMA 60
37 COPY 60
38 SUM 132
39 XPY 60
40 TGAMMA 12
41 SUM 84
42 XPY 60
43 COPY 84
44 TGAMMA 60
45 POW 12
46 ERF 12
47 SQRTX 12
48 TGAMMA 60
49 SUM 84
50 POW 36
51 COPY 60
52 SUM 84
53 COPY 60
54 XPY 48
55 COPY 60
56 DOT 36
57 TGAMMA 12
58 DOT 36
59 XPY 48
60 DOT 36
61 SQRTX 48
62 DOT 84
63 XPY 60
64 DOT 84
65 COPY 60
66 DOT 36
67 XPY 60
68 ERF 48
69 COPY 84
70 COPY 84
71 COPY 60
72 SUM 84
73 TGAMMA 120
74 XPY 48
75 XPY 60
76 XPY 60
77 POW 12
78 SUM 84
79 XPY 48
80 COPY 84
81 POW 12
82 SUM 84
83 COPY 84
84 SUM 108
85 TGAMMA 60
86 XPY 48
87 SUM 108
88 TGAMMA 60
89 SUM 108
90 TGAMMA 60
91 TGAMMA 120
92 SUM 108
93 SUM 132
94 XPY 60
95 DOT 84
96 POW 24
97 SUM 132
98 COPY 60
99 XPY 60
DEPS 0
