JOBS 100
0 TGAMMA 60
1 POW 24
2 SUM 108
3 SUM 84
4 DOT 84
5 TGAMMA 120
6 COPY 60
7 TGAMMA 12
8 ERF 12
9 POW 24
10 TGAMMA 12
11 POW 36
12 ERF 24
13 TGAMMA 120
14 POW 24
15 TGAMMA 120
16 DOT 36
17 POW 24
18 TGAMMA 12
19 TGAMMA 120
20 POW 24
21 COPY 60
22 COPY 60
23 TGAMMA 12
24 SUM 108
25 ERF 48
26 TGAMMA 60
27 TGAMMA 12
28 COPY 84
29 TGAMMA 12
30 TGAMMA 60
31 TGAMMA 12
32 POW 12
33 DOT 36
34 SUM 84
35 SUM 132
36 ERF 48
37 SUM 108
38 POW 36
39 POW 12
40 COPY 84
41 TGAMMA 60
42 SUM 84
43 TGAMMA 60
44 COPY 60
45 TGAMMA 12
46 TGAMMA 60
47 TGAMMA 12
48 POW 36
49 COPY 60
50 ERF 48
51 POW 12
52 TGAMMA 12
53 TGAMMA 120
54 TGAMMA 60
55 TGAMMA 120
56 TGAMMA 60
57 POW 12
58 POW 36
59 POW 12
60 ERF 24
61 SUM 132
62 POW 36
63 TGAMMA 60
64 TGAMMA 60
65 COPY 60
66 TGAMMA 60
67 SUM 132
68 TGAMMA 12
69 POW 24
70 POW 12
71 TGAMMA 60
72 COPY 84
73 SQRTX 48
74 TGAMMA 12
75 POW 12
76 ERF 12
77 POW 24
78 POW 36
79 XPY 60
80 ERF 12
81 ERF 48
82 POW 36
83 POW 12
84 DOT 84
85 TGAMMA 120
86 POW 24
87 POW 36
88 POW 24
89 TGAMMA 60
90 TGAMMA 12
91 COPY 60
92 POW 36
93 POW 24
94 POW 12
95 TGAMMA 120
96 TGAMMA 12
97 POW 36
98 COPY 84
99 POW 24
DEPS 0
