JOBS 100
0 TGAMMA 60
1 DOT 84
2 COPY 60
3 ERF 12
4 SUM 132
5 TGAMMA 60
6 XPY 60
7 SUM 84
8 SUM 132
9 POW 12
10 DOT 84
11 COPY 60
12 TGAMMA 60
13 POW 36
14 SUM 108
15 DOT 84
16 SUM 108
17 SUM 84
18 SUM 132
19 XPY 48
20 TGAMMA 60
21 TGAMMA 12
22 SUM 132
23 COPY 84
24 ERF 24
25 ERF 12
26 DOT 36
27 COPY 84
28 COPY 60
29 TGAMMA 120
30 XPY 48
31 XPY 48
32 TGAMMA 120
33 POW 36
34 TGAMMA 12
35 SQRTX 12
36 SUM 132
37 COPY 84
38 DOT 36
39 SUM 108
40 SUM 108
41 SUM 84
42 DOT 36
43 SUM 108
44 DOT 84
45 XPY 48
46 COPY 60
47 TGAMMA 60
48 COPY 60
49 SUM 108
50 SUM 132
51 TGAMMA 12
52 SUM 132
53 POW 36
54 ERF 12
55 DOT 84
56 TGAMMA 60
57 COPY 84
58 POW 24
59 XPY 48
60 DOT 84
61 XPY 48
62 SUM 108
63 POW 24
64 ERF 12
65 COPY 84
66 TGAMMA 120
67 ERF 48
68 POW 24
69 DOT 36
70 SUM 84
71 XPY 48
72 SUM 108
73 COPY 84
74 XPY 48
75 DOT 84
76 SUM 132
77 POW 36
78 SUM 132
79 XPY 48
80 DOT 84
81 POW 12
82 SUM 132
83 SUM 132
84 SUM 132
85 POW 36
86 POW 36
87 SUM 132
88 COPY 60
89 SUM 132
90 SUM 84
91 ERF 24
92 TGAMMA 12
93 POW 24
94 SUM 84
95 COPY 60
96 COPY 84
97 ERF 12
98 XPY 48
99 ERF 48
DEPS 0
