JOBS 100
0 XPY 60
1 COPY 84
2 XPY 48
3 SUM 108
4 XPY 60
5 SUM 132
6 SUM 132
7 DOT 84
8 SUM 108
9 SUM 84
10 DOT 36
11 COPY 84
12 SUM 84
13 COPY 84
14 XPY 48
15 XPY 60
16 XPY 48
17 SUM 84
18 COPY 60
19 SUM 84
20 COPY 60
21 SUM 84
22 DOT 36
23 COPY 60
24 DOT 84
25 SUM 108
26 SUM 108
27 COPY 60
28 DOT 84
29 COPY 60
30 DOT 84
31 COPY 60
32 COPY 84
33 SUM 84
34 SUM 84
35 DOT 36
36 COPY 60
37 COPY 60
38 XPY 48
39 DOT 84
40 SUM 84
41 COPY 84
42 XPY 48
43 DOT 36
44 SUM 108
45 SUM 132
46 SUM 132
47 SUM 84
48 SUM 108
49 COPY 60
50 TGAMMA 120
51 TGAMMA 120
52 POW 12
53 POW 24
54 TGAMMA 120
55 TGAMMA 120
56 TGAMMA 120
57 TGAMMA 60
58 TGAMMA 60
59 TGAMMA 60
60 TGAMMA 12
61 POW 12
62 TGAMMA 60
63 POW 24
64 TGAMMA 60
65 POW 36
66 TGAMMA 12
67 POW 12
68 POW 12
69 TGAMMA 120
70 TGAMMA 12
71 TGAMMA 12
72 POW 36
73 POW 36
74 TGAMMA 120
75 TGAMMA 60
76 TGAMMA 120
77 TGAMMA 12
78 POW 36
79 POW 24
80 TGAMMA 12
81 TGAMMA 120
82 TGAMMA 12
83 POW 36
84 TGAMMA 120
85 TGAMMA 120
86 TGAMMA 12
87 TGAMMA 60
88 POW 24
89 TGAMMA 60
90 TGAMMA 60
91 TGAMMA 60
92 POW 36
93 POW 36
94 TGAMMA 12
95 TGAMMA 120
96 TGAMMA 120
97 POW 12
98 TGAMMA 120
99 POW 12
DEPS 0
