JOBS 100
0 COPY 84
1 XPY 60
2 COPY 60
3 COPY 84
4 DOT 36
5 DOT 36
6 XPY 48
7 XPY 60
8 COPY 84
9 XPY 48
10 DOT 84
11 SUM 84
12 DOT 36
13 XPY 60
14 COPY 84
15 DOT 84
16 DOT 84
17 DOT 84
18 COPY 60
19 XPY 48
20 XPY 60
21 COPY 60
22 DOT 36
23 COPY 60
24 COPY 60
25 SUM 108
26 SUM 132
27 SUM 84
28 DOT 36
29 SUM 132
30 SUM 108
31 COPY 84
32 SUM 84
33 SUM 108
34 XPY 60
35 DOT 84
36 COPY 84
37 XPY 60
38 COPY 60
39 DOT 36
40 COPY 84
41 SUM 84
42 COPY 60
43 XPY 60
44 XPY 60
45 SUM 84
46 XPY 48
47 SUM 84
48 SUM 132
49 XPY 48
50 TGAMMA 12
51 TGAMMA 60
52 TGAMMA 120
53 TGAMMA 60
54 POW 12
55 TGAMMA 60
56 TGAMMA 60
57 POW 36
58 TGAMMA 120
59 POW 36
60 POW 12
61 POW 36
62 TGAMMA 12
63 TGAMMA 120
64 POW 12
65 POW 24
66 POW 36
67 POW 36
68 POW 12
69 TGAMMA 60
70 TGAMMA 12
71 TGAMMA 120
72 POW 36
73 TGAMMA 60
74 TGAMMA 60
75 TGAMMA 60
76 POW 12
77 TGAMMA 120
78 POW 12
79 POW 12
80 POW 24
81 POW 24
82 POW 12
83 TGAMMA 120
84 TGAMMA 12
85 POW 12
86 TGAMMA 120
87 POW 24
88 TGAMMA 120
89 TGAMMA 120
90 POW 12
91 POW 24
92 POW 12
93 TGAMMA 12
94 TGAMMA 120
95 TGAMMA 60
96 POW 12
97 TGAMMA 12
98 TGAMMA 120
99 TGAMMA 60
DEPS 0
