JOBS 100
0 TGAMMA 120
1 POW 24
2 TGAMMA 60
3 TGAMMA 12
4 TGAMMA 60
5 TGAMMA 120
6 TGAMMA 12
7 POW 12
8 XPY 48
9 SUM 132
10 ERF 12
11 SUM 132
12 SUM 108
13 TGAMMA 60
14 POW 36
15 SUM 132
16 SUM 132
17 POW 24
18 SQRTX 48
19 TGAMMA 12
20 DOT 36
21 POW 12
22 DOT 84
23 POW 12
24 TGAMMA 12
25 TGAMMA 12
26 COPY 60
27 SUM 84
28 XPY 48
29 TGAMMA 120
30 TGAMMA 120
31 TGAMMA 60
32 TGAMMA 60
33 DOT 36
34 SUM 84
35 POW 36
36 XPY 60
37 SQRTX 48
38 POW 24
39 TGAMMA 12
40 XPY 48
41 POW 24
42 SUM 84
43 DOT 36
44 DOT 84
45 XPY 48
46 TGAMMA 12
47 POW 36
48 POW 36
49 TGAMMA 120
50 XPY 60
51 POW 12
52 SUM 84
53 POW 36
54 SUM 84
55 DOT 84
56 DOT 84
57 POW 12
58 TGAMMA 120
59 XPY 48
60 DOT 36
61 TGAMMA 120
62 POW 36
63 COPY 60
64 COPY 60
65 POW 24
66 SUM 132
67 POW 36
68 ERF 12
69 COPY 60
70 POW 36
71 SQRTX 48
72 XPY 48
73 SUM 108
74 TGAMMA 120
75 SUM 84
76 DOT 36
77 ERF 24
78 TGAMMA 120
79 DOT 36
80 SUM 84
81 XPY 60
82 ERF 24
83 SUM 84
84 DOT 84
85 DOT 36
86 POW 12
87 DOT 84
88 TGAMMA 60
89 TGAMMA 60
90 ERF 48
91 SUM 84
92 XPY 48
93 TGAMMA 12
94 TGAMMA 60
95 COPY 84
96 ERF 12
97 POW 24
98 XPY 48
99 ERF 48
DEPS 0
