JOBS 100
0 TGAMMA 120
1 TGAMMA 60
2 ERF 24
3 SUM 132
4 SUM 132
5 COPY 60
6 POW 36
7 POW 24
8 TGAMMA 60
9 TGAMMA 120
10 SUM 108
11 TGAMMA 120
12 DOT 36
13 POW 36
14 XPY 60
15 TGAMMA 60
16 POW 12
17 POW 12
18 TGAMMA 120
19 POW 24
20 TGAMMA 120
21 TGAMMA 120
22 TGAMMA 120
23 TGAMMA 120
24 DOT 84
25 POW 36
26 TGAMMA 60
27 SQRTX 48
28 TGAMMA 60
29 COPY 60
30 POW 12
31 XPY 48
32 SUM 84
33 TGAMMA 60
34 COPY 60
35 SQRTX 12
36 SUM 108
37 TGAMMA 12
38 DOT 84
39 SUM 84
40 POW 36
41 TGAMMA 60
42 POW 36
43 POW 12
44 ERF 48
45 SUM 132
46 XPY 60
47 POW 12
48 POW 12
49 POW 36
50 SUM 84
51 TGAMMA 12
52 TGAMMA 120
53 TGAMMA 60
54 POW 36
55 ERF 24
56 TGAMMA 12
57 TGAMMA 12
58 TGAMMA 60
59 TGAMMA 12
60 TGAMMA 120
61 TGAMMA 60
62 POW 36
63 COPY 84
64 POW 24
65 ERF 48
66 POW 24
67 XPY 60
68 TGAMMA 120
69 POW 36
70 TGAMMA 60
71 ERF 24
72 TGAMMA 12
73 TGAMMA 60
74 COPY 84
75 ERF 24
76 TGAMMA 12
77 TGAMMA 120
78 POW 24
79 POW 12
80 SQRTX 48
81 POW 24
82 SUM 84
83 POW 24
84 POW 24
85 POW 36
86 POW 12
87 POW 36
88 TGAMMA 12
89 XPY 60
90 TGAMMA 60
91 SUM 132
92 SUM 84
93 ERF 12
94 POW 24
95 TGAMMA 60
96 SUM 132
97 POW 12
98 POW 36
99 TGAMMA 12
DEPS 0
