JOBS 100
0 DOT 84
1 XPY 48
2 DOT 84
3 COPY 84
4 DOT 36
5 DOT 84
6 XPY 48
7 XPY 48
8 SUM 132
9 DOT 84
10 SUM 132
11 SUM 108
12 SUM 84
13 COPY 60
14 XPY 60
15 DOT 36
16 XPY 60
17 SUM 84
18 COPY 60
19 XPY 48
20 SUM 108
21 DOT 36
22 SUM 132
23 DOT 36
24 DOT 36
25 XPY 60
26 SUM 108
27 COPY 84
28 DOT 84
29 COPY 84
30 SUM 84
31 XPY 60
32 XPY 48
33 DOT 84
34 SUM 84
35 SUM 84
36 SUM 108
37 COPY 84
38 SUM 84
39 XPY 48
40 DOT 36
41 DOT 36
42 SUM 84
43 SUM 132
44 SUM 84
45 SUM 108
46 SUM 132
47 XPY 48
48 SUM 84
49 COPY 84
50 POW 12
51 POW 36
52 TGAMMA 120
53 POW 24
54 POW 12
55 TGAMMA 60
56 POW 12
57 POW 36
58 POW 12
59 TGAMMA 60
60 TGAMMA 12
61 TGAMMA 60
62 TGAMMA 12
63 TGAMMA 12
64 POW 12
65 TGAMMA 12
66 TGAMMA 60
67 TGAMMA 120
68 POW 12
69 TGAMMA 12
70 TGAMMA 120
71 TGAMMA 12
72 POW 12
73 TGAMMA 60
74 POW 12
75 POW 36
76 POW 36
77 POW 12
78 TGAMMA 120
79 POW 12
80 POW 24
81 TGAMMA 12
82 POW 24
83 TGAMMA 60
84 POW 12
85 POW 12
86 TGAMMA 12
87 POW 12
88 POW 12
89 POW 12
90 TGAMMA 120
91 TGAMMA 120
92 POW 36
93 TGAMMA 60
94 POW 24
95 POW 24
96 POW 36
97 TGAMMA 12
98 TGAMMA 60
99 TGAMMA 60
DEPS 0
