JOBS 100
0 SUM 108
1 DOT 36
2 SUM 108
3 SUM 108
4 SUM 108
5 DOT 84
6 POW 24
7 DOT 36
8 XPY 60
9 SUM 84
10 POW 36
11 DOT 84
12 COPY 84
13 TGAMMA 60
14 POW 36
15 DOT 36
16 POW 24
17 DOT 84
18 TGAMMA 12
19 SQRTX 12
20 ERF 12
21 ERF 24
22 XPY 48
23 POW 12
24 COPY 84
25 SUM 108
26 POW 24
27 SQRTX 48
28 TGAMMA 120
29 SUM 108
30 DOT 36
31 POW 24
32 XPY 60
33 TGAMMA 60
34 ERF 48
35 POW 24
36 TGAMMA 60
37 DOT 84
38 TGAMMA 12
39 XPY 48
40 COPY 84
41 XPY 60
42 DOT 84
43 SUM 84
44 XPY 48
45 SUM 84
46 TGAMMA 12
47 XPY 60
48 DOT 36
49 XPY 48
50 SUM 132
51 ERF 12
52 POW 12
53 SUM 108
54 SUM 132
55 SUM 84
56 SUM 84
57 COPY 84
58 SUM 132
59 POW 36
60 SQRTX 48
61 ERF 24
62 SUM 108
63 POW 24
64 SUM 108
65 SUM 84
66 SUM 132
67 TGAMMA 12
68 SUM 108
69 XPY 60
70 DOT 84
71 COPY 84
72 DOT 36
73 ERF 12
74 SQRTX 48
75 COPY 60
76 COPY 84
77 DOT 36
78 XPY 48
79 COPY 84
80 COPY 84
81 DOT 84
82 TGAMMA 120
83 SUM 108
84 SUM 132
85 XPY 60
86 POW 36
87 COPY 84
88 XPY 48
89 DOT 84
90 SUM 84
91 POW 12
92 DOT 36
93 TGAMMA 120
94 SUM 132
95 DOT 84
96 COPY 60
97 SUM 132
98 TGAMMA 120
99 TGAMMA 12
DEPS 0
