JOBS 100
0 TGAMMA 12
1 POW 24
2 SUM 84
3 DOT 36
4 DOT 36
5 COPY 60
6 POW 24
7 DOT 84
8 TGAMMA 60
9 POW 24
10 POW 24
11 SUM 108
12 TGAMMA 60
13 POW 24
14 POW 36
15 COPY 84
16 ERF 48
17 POW 36
18 SUM 84
19 DOT 84
20 POW 36
21 TGAMMA 12
22 SUM 84
23 COPY 60
24 SUM 132
25 TGAMMA 60
26 DOT 84
27 SQRTX 12
28 POW 12
29 ERF 12
30 POW 24
31 SQRTX 48
32 XPY 48
33 SUM 132
34 TGAMMA 12
35 TGAMMA 120
36 XPY 60
37 POW 24
38 ERF 48
39 TGAMMA 60
40 TGAMMA 60
41 POW 12
42 POW 36
43 TGAMMA 120
44 TGAMMA 60
45 TGAMMA 60
46 SQRTX 48
47 TGAMMA 120
48 POW 12
49 TGAMMA 12
50 TGAMMA 12
51 DOT 36
52 TGAMMA 60
53 TGAMMA 60
54 SUM 132
55 TGAMMA 12
56 POW 36
57 POW 12
58 POW 12
59 POW 36
60 ERF 48
61 POW 36
62 POW 12
63 ERF 24
64 POW 12
65 POW 36
66 SUM 108
67 POW 12
68 TGAMMA 60
69 TGAMMA 60
70 TGAMMA 12
71 POW 36
72 POW 12
73 POW 36
74 TGAMMA 12
75 POW 12
76 POW 24
77 POW 12
78 TGAMMA 120
79 TGAMMA 12
80 POW 12
81 POW 36
82 TGAMMA 60
83 TGAMMA 60
84 SUM 84
85 XPY 60
86 POW 12
87 POW 12
88 SQRTX 12
89 TGAMMA 120
90 ERF 12
91 POW 36
92 POW 36
93 TGAMMA 12
94 SUM 108
95 TGAMMA 12
96 TGAMMA 12
97 DOT 84
98 SUM 132
99 SUM 84
DEPS 0
