JOBS 100
0 DOT 36
1 POW 12
2 COPY 84
3 COPY 60
4 SUM 132
5 TGAMMA 12
6 SUM 84
7 TGAMMA 12
8 XPY 60
9 XPY 48
10 TGAMMA 60
11 COPY 84
12 XPY 60
13 SUM 84
14 COPY 84
15 XPY 60
16 SUM 108
17 DOT 84
18 DOT 36
19 SUM 132
20 POW 12
21 XPY 48
22 COPY 60
23 TGAMMA 120
24 POW 36
25 COPY 60
26 SUM 84
27 SUM 84
28 SUM 84
29 COPY 60
30 TGAMMA 12
31 SUM 84
32 COPY 60
33 POW 12
34 XPY 60
35 COPY 84
36 SUM 108
37 SUM 84
38 TGAMMA 60
39 COPY 84
40 DOT 84
41 COPY 60
42 COPY 84
43 SUM 108
44 SQRTX 12
45 COPY 60
46 POW 24
47 SUM 108
48 ERF 12
49 DOT 36
50 COPY 60
51 TGAMMA 12
52 SUM 84
53 DOT 84
54 XPY 48
55 SQRTX 48
56 DOT 84
57 TGAMMA 60
58 SUM 132
59 SUM 132
60 COPY 60
61 COPY 84
62 ERF 48
63 COPY 84
64 SUM 108
65 TGAMMA 60
66 COPY 84
67 DOT 36
68 POW 12
69 ERF 12
70 SUM 132
71 SQRTX 12
72 COPY 84
73 TGAMMA 120
74 SUM 132
75 ERF 12
76 XPY 48
77 POW 24
78 XPY 60
79 XPY 48
80 SUM 132
81 POW 24
82 TGAMMA 60
83 SUM 84
84 XPY 60
85 TGAMMA 60
86 DOT 36
87 XPY 60
88 TGAMMA 60
89 XPY 60
90 SQRTX 12
91 POW 24
92 SUM 84
93 ERF 12
94 TGAMMA 120
95 POW 36
96 POW 36
97 DOT 84
98 DOT 84
99 SQRTX 12
DEPS 0
