JOBS 100
0 POW 36
1 TGAMMA 60
2 TGAMMA 60
3 TGAMMA 12
4 TGAMMA 60
5 XPY 60
6 COPY 84
7 POW 36
8 XPY 48
9 POW 36
10 POW 24
11 XPY 48
12 ERF 24
13 POW 12
14 TGAMMA 60
15 POW 24
16 POW 12
17 TGAMMA 12
18 ERF 12
19 POW 12
20 POW 12
21 POW 12
22 SUM 84
23 POW 24
24 POW 36
25 POW 24
26 POW 24
27 SUM 132
28 DOT 84
29 DOT 36
30 SQRTX 48
31 TGAMMA 120
32 SUM 84
33 POW 36
34 TGAMMA 12
35 TGAMMA 60
36 COPY 60
37 POW 24
38 XPY 60
39 XPY 48
40 POW 24
41 POW 24
42 POW 12
43 POW 24
44 ERF 48
45 TGAMMA 12
46 TGAMMA 12
47 COPY 60
48 POW 12
49 TGAMMA 60
50 XPY 60
51 XPY 60
52 TGAMMA 120
53 TGAMMA 120
54 POW 36
55 ERF 12
56 SUM 108
57 TGAMMA 120
58 POW 12
59 TGAMMA 60
60 TGAMMA 12
61 POW 36
62 POW 36
63 TGAMMA 120
64 TGAMMA 60
65 TGAMMA 12
66 POW 36
67 SUM 84
68 TGAMMA 120
69 SQRTX 12
70 TGAMMA 120
71 TGAMMA 60
72 POW 36
73 POW 36
74 ERF 12
75 ERF 48
76 POW 12
77 XPY 60
78 POW 12
79 TGAMMA 120
80 COPY 60
81 TGAMMA 60
82 ERF 12
83 TGAMMA 60
84 TGAMMA 60
85 POW 36
86 TGAMMA 12
87 POW 24
88 SUM 108
89 POW 24
90 ERF 24
91 SUM 108
92 SUM 132
93 TGAMMA 120
94 TGAMMA 120
95 DOT 36
96 DOT 36
97 XPY 60
98 TGAMMA 60
99 POW 36
DEPS 0
