JOBS 100
0 DOT 84
1 POW 36
2 SUM 84
3 POW 36
4 COPY 84
5 COPY 84
6 XPY 48
7 COPY 60
8 ERF 24
9 TGAMMA 120
10 SQRTX 48
11 POW 36
12 XPY 60
13 TGAMMA 12
14 ERF 48
15 ERF 48
16 XPY 60
17 DOT 84
18 DOT 36
19 SUM 108
20 ERF 48
21 COPY 84
22 SQRTX 12
23 XPY 48
24 SUM 132
25 XPY 60
26 SUM 108
27 POW 12
28 COPY 84
29 SUM 108
30 TGAMMA 120
31 POW 24
32 TGAMMA 120
33 TGAMMA 12
34 COPY 60
35 DOT 36
36 SUM 132
37 ERF 48
38 TGAMMA 120
39 DOT 36
40 SUM 132
41 POW 36
42 POW 24
43 POW 24
44 DOT 36
45 TGAMMA 12
46 COPY 84
47 SQRTX 48
48 SUM 132
49 DOT 36
50 TGAMMA 60
51 POW 24
52 XPY 48
53 DOT 84
54 POW 12
55 TGAMMA 12
56 TGAMMA 60
57 POW 36
58 POW 12
59 TGAMMA 60
60 DOT 36
61 TGAMMA 12
62 COPY 60
63 TGAMMA 120
64 ERF 48
65 XPY 48
66 TGAMMA 60
67 POW 36
68 POW 36
69 TGAMMA 120
70 POW 24
71 POW 24
72 TGAMMA 12
73 POW 24
74 COPY 84
75 POW 12
76 POW 36
77 TGAMMA 120
78 SUM 84
79 SUM 84
80 TGAMMA 60
81 TGAMMA 60
82 POW 24
83 TGAMMA 60
84 TGAMMA 60
85 TGAMMA 60
86 POW 36
87 SUM 132
88 SUM 108
89 COPY 60
90 SQRTX 12
91 TGAMMA 12
92 DOT 84
93 SUM 84
94 COPY 60
95 SUM 132
96 XPY 60
97 SUM 108
98 POW 24
99 SUM 108
DEPS 0
