JOBS 100
0 SUM 132
1 XPY 48
2 XPY 60
3 SQRTX 12
4 ERF 12
5 POW 24
6 POW 36
7 ERF 24
8 TGAMMA 12
9 DOT 36
10 POW 24
11 TGAMMA 60
12 POW 24
13 DOT 84
14 TGAMMA 12
15 ERF 24
16 POW 36
17 TGAMMA 60
18 TGAMMA 12
19 COPY 60
20 TGAMMA 12
21 ERF 24
22 XPY 60
23 XPY 48
24 POW 12
25 POW 12
26 TGAMMA 60
27 COPY 84
28 COPY 84
29 TGAMMA 120
30 XPY 60
31 TGAMMA 60
32 TGAMMA 120
33 DOT 84
34 SUM 132
35 SUM 84
36 TGAMMA 60
37 TGAMMA 120
38 COPY 84
39 COPY 84
40 COPY 60
41 TGAMMA 60
42 COPY 84
43 TGAMMA 12
44 TGAMMA 12
45 TGAMMA 120
46 ERF 24
47 TGAMMA 120
48 DOT 84
49 DOT 84
50 TGAMMA 60
51 POW 12
52 ERF 48
53 TGAMMA 60
54 XPY 48
55 POW 24
56 POW 24
57 SUM 108
58 SQRTX 48
59 POW 36
60 SUM 84
61 COPY 84
62 DOT 84
63 TGAMMA 12
64 COPY 60
65 SUM 84
66 POW 36
67 POW 24
68 COPY 60
69 POW 36
70 POW 12
71 XPY 60
72 POW 36
73 POW 36
74 SUM 132
75 TGAMMA 60
76 DOT 84
77 SUM 108
78 COPY 60
79 XPY 48
80 SUM 108
81 TGAMMA 12
82 TGAMMA 60
83 POW 24
84 TGAMMA 60
85 SQRTX 48
86 COPY 84
87 ERF 24
88 DOT 84
89 SUM 132
90 SUM 84
91 SUM 108
92 COPY 84
93 POW 24
94 XPY 48
95 POW 12
96 DOT 84
97 TGAMMA 120
98 DOT 84
99 SUM 108
DEPS 0
