JOBS 100
0 TGAMMA 12
1 TGAMMA 12
2 TGAMMA 120
3 TGAMMA 60
4 POW 24
5 POW 12
6 TGAMMA 120
7 DOT 36
8 DOT 84
9 ERF 24
10 TGAMMA 120
11 TGAMMA 120
12 TGAMMA 60
13 SUM 132
14 TGAMMA 12
15 POW 24
16 XPY 60
17 SUM 108
18 POW 36
19 ERF 24
20 TGAMMA 120
21 COPY 84
22 TGAMMA 120
23 POW 12
24 POW 36
25 POW 24
26 DOT 84
27 COPY 60
28 TGAMMA 60
29 DOT 84
30 TGAMMA 120
31 POW 12
32 POW 36
33 TGAMMA 60
34 TGAMMA 60
35 TGAMMA 60
36 SQRTX 48
37 TGAMMA 12
38 TGAMMA 120
39 ERF 12
40 XPY 60
41 POW 12
42 XPY 48
43 COPY 60
44 TGAMMA 120
45 TGAMMA 120
46 TGAMMA 120
47 ERF 12
48 POW 24
49 DOT 84
50 TGAMMA 12
51 COPY 60
52 SUM 108
53 SUM 132
54 POW 36
55 TGAMMA 120
56 TGAMMA 60
57 COPY 84
58 TGAMMA 60
59 DOT 84
60 TGAMMA 120
61 POW 24
62 SQRTX 48
63 POW 24
64 TGAMMA 12
65 POW 36
66 TGAMMA 60
67 TGAMMA 60
68 ERF 12
69 POW 12
70 ERF 48
71 TGAMMA 60
72 TGAMMA 12
73 POW 12
74 POW 24
75 ERF 48
76 DOT 36
77 POW 36
78 TGAMMA 12
79 TGAMMA 60
80 POW 12
81 TGAMMA 60
82 DOT 36
83 SUM 132
84 TGAMMA 120
85 SQRTX 48
86 DOT 36
87 TGAMMA 60
88 COPY 60
89 POW 24
90 TGAMMA 120
91 XPY 60
92 TGAMMA 120
93 POW 12
94 POW 24
95 TGAMMA 120
96 POW 12
97 POW 12
98 SUM 84
99 POW 12
DEPS 0
